LP207986,Ericales_Primulaceae_Samolus_valerandi
LP208062,Ericales_Primulaceae_Stimpsonia_chamaedryoides
LP208242,Ericales_Primulaceae_Trientalis_europaea__Lysimachia_europaea
SAS29,Ericales_Sapotaceae_Argania_spinosa
LP208116,Ericales_Sapotaceae_Chrysophyllum_monopyrenum
PL008615,Ericales_Sapotaceae_Diploknema_yunnanensis
LP208123,Ericales_Sapotaceae_Eberhardtia_aurata
LP208112,Ericales_Sapotaceae_Madhuca_pasquieri
SAS55,Ericales_Sapotaceae_Manilkara_sapota
SAS30,Ericales_Sapotaceae_Niemeyera_whitei
LP208119,Ericales_Sapotaceae_Planchonella_obovata
LP207985,Ericales_Sapotaceae_Pouteria_campechiana
LP208118,Ericales_Sapotaceae_Sarcosperma_laurinum
DAL227,Ericales_Sarraceniaceae_Darlingtonia_californica
LP207992,Ericales_Sarraceniaceae_Heliamphora_tatei
SAS54,Ericales_Sarraceniaceae_Saracennia_leucophyla
SAS33,Ericales_Sarraceniaceae_Sarracenia_rubra_subsp_gulfensis
LP207926,Ericales_Sladeniaceae_Sladenia_celastrifolia
PL008713,Ericales_Styracaceae_Bruinsmia_polysperma
LP208074,Ericales_Styracaceae_Changiostyrax_dolichocarpus
SAS52,Ericales_Styracaceae_Halesia_diptera
LP208124,Ericales_Styracaceae_Huodendron_tibeticum
LP207933,Ericales_Styracaceae_Melliodendron_xylocarpum
LP207936,Ericales_Styracaceae_Pterostyrax_psilophyllus
LP207934,Ericales_Styracaceae_Rehderodendron_macrocarpum
SAS58,Ericales_Styracaceae_Stryrax_alnaicanus
LP207990,Ericales_Styracaceae_Styrax_obassis
NC_037472,Ericales_Theaceae_Camellia_chekiangoleosa
MN078090,Ericales_Theaceae_Camellia_oleifera
NC_024663,Ericales_Theaceae_Camellia_reticulata
NC_041473,Ericales_Theaceae_Camellia_sasanqua
OL450428,Ericales_Theaceae_Camellia_sinensis
KF156836,Ericales_Theaceae_Camellia_taliensis
PL008867,Ericales_Theaceae_Euryodendron_excelsum
DG026,Ericales_Theaceae_Franklinia_alatamaha
SAS60,Ericales_Theaceae_Gordonia_lasianthus
LP208122,Ericales_Theaceae_Polyspora_longicarpa
LP207932,Ericales_Theaceae_Polyspora_speciosa
LP207930,Ericales_Theaceae_Pyrenaria_hirta
SAS32,Ericales_Theaceae_Stewartia_pseudocamellia
NC_014697,Rosales_Rosaceae_Prunus_persica
NC_036306,Santalales_Loranthaceae_Taxillus_chinensis
NC_041602,Solanales_Solanaceae_Solanum_chacoense
NC_007898,Solanales_Solanaceae_Solanum_lycopersicum
